study,dv,n,mean,sd,mean_z_vs_global,scale_note,mapping_source
mimbcd_uta7_nasa_tlx,frustration,90,6.4222222222222225,5.922681175752498,-0.0653442987873407,,schema
partial_automation_workload_real_traffic,frustration,18,5.111111111111111,4.93354530546196,-0.32775644589789427,,schema
roads_chi25,frustration,23,7.108695652173914,2.8875642000174926,0.07204982834755126,,schema
td2d_takeover_distracted_l2,frustration,500,8.352799999999998,5.665620059739503,0.32105091633768335,rescaled 0.0-100.0 -> 0.0-20.0,schema
3d_display_comp_vehicle,mental_demand,15,7.3999999999999995,4.205438655564278,-0.0694677902475825,,schema
ehmi_for_all_chi26,mental_demand,40,9.027777777777777,3.562315511181304,0.28800900966805776,,schema
ehmi_japan_germany_hitl_mobo,mental_demand,1520,9.297684210526315,6.285567397132736,0.3472832479411186,,schema
ehmi_optimization_chi25,mental_demand,777,3.046718146718147,2.3571314066332336,-1.0254934144372223,,schema
fact_av,mental_demand,10354,9.450164187753526,5.694030425821815,0.38076942465057506,,schema
longitudinal_usa_germany_ehmi,mental_demand,56,8.970238095238095,4.958321965136664,0.2753727015286703,,schema
mimbcd_uta7_nasa_tlx,mental_demand,90,4.6,3.417733002503925,-0.6843766883959878,,schema
partial_automation_workload_real_traffic,mental_demand,18,6.277777777777778,4.19811660230346,-0.3159193724419829,,unknown
roads_chi25,mental_demand,23,8.01086956521739,3.1058051246194482,0.0646854709167823,,schema
td2d_takeover_distracted_l2,mental_demand,500,11.082,5.995595912057563,0.7391374108175708,rescaled 0.0-100.0 -> 0.0-20.0,unknown
ehmi_for_all_chi26,number_of_collisions,40,0.02222222222222222,0.04839951914662546,0.0,,schema
ehmi_for_all_chi26,pedestrian_crossing_time,40,7.124707966666667,1.7685683408127293,0.0,,schema
ehmi_for_all_chi26,perceived_safety,40,1.7890082522665243,0.5504635730366564,-0.12317460718590806,,unknown
ehmi_optimization_chi25,perceived_safety,37,2.372972972972973,0.8371812904850049,0.38766588481890846,,schema
fact_av,perceived_safety,10354,1.6274628163028781,1.7077641419557383,-0.2644912776330004,,unknown
mimbcd_uta7_nasa_tlx,performance,90,14.677777777777777,4.260684593875659,1.0144538676620507,,schema
partial_automation_workload_real_traffic,performance,18,6.444444444444445,5.741717535845691,-0.6554580924409829,,schema
roads_chi25,performance,23,8.971014492753621,3.9102630352485135,-0.1430107796827326,,schema
td2d_takeover_distracted_l2,performance,499,8.61122244488978,5.551977315973614,-0.21598499553833486,rescaled 0.0-100.0 -> 0.0-20.0,schema
mimbcd_uta7_nasa_tlx,physical_demand,90,3.0444444444444443,2.4719146521352022,-0.5499140285164476,,schema
partial_automation_workload_real_traffic,physical_demand,18,2.6666666666666665,1.137592917989042,-0.6585653690075551,,unknown
roads_chi25,physical_demand,23,7.126811594202899,3.346269365264842,0.6242012564197476,,schema
td2d_takeover_distracted_l2,physical_demand,500,6.988,5.454848002783115,0.5842781411042552,rescaled 0.0-100.0 -> 0.0-20.0,unknown
fact_av,situational_awareness,10354,20.65675101410083,6.93372256138817,0.0,,schema
td2d_takeover_distracted_l2,task_completion_time,187786,159.03526642835905,55.58354235364297,0.0,,schema
mimbcd_uta7_nasa_tlx,temporal_demand,90,4.088888888888889,3.199875153619522,-0.5728707854554493,,schema
partial_automation_workload_real_traffic,temporal_demand,18,3.388888888888889,2.0332208262027454,-0.7583170131219158,,unknown
roads_chi25,temporal_demand,23,8.217391304347828,2.8426472504385765,0.5208652129142014,,schema
td2d_takeover_distracted_l2,temporal_demand,500,9.31,5.876987149544554,0.8103225856631641,rescaled 0.0-100.0 -> 0.0-20.0,unknown
ehmi_for_all_chi26,tia_item_01,40,3.381944444444444,0.766522912737656,0.0,,schema
ehmi_for_all_chi26,tia_item_02,40,3.304166666666667,0.6718680638017371,0.0,,schema
ehmi_for_all_chi26,tia_item_03,40,3.2222222222222223,0.7666067939790682,0.0,,schema
ehmi_for_all_chi26,tia_item_04,40,2.1819444444444445,0.7182101469147945,0.0,,schema
ehmi_for_all_chi26,tia_item_05,40,3.570833333333333,0.6769140613158298,0.0,,schema
ehmi_for_all_chi26,tia_item_06,40,2.533333333333333,0.7220359172370238,0.0,,schema
ehmi_for_all_chi26,time_after_crossing,40,2.0965640041527775,0.627629918298591,0.0,,schema
ehmi_for_all_chi26,trust_rating,40,3.0324074074074074,0.2923376339977727,-0.8385470919424595,,unknown
ehmi_japan_germany_hitl_mobo,trust_rating,520,3.5114615384615386,1.2242782382626765,-0.27837236533706683,,schema
ehmi_optimization_chi25,trust_rating,37,4.419594594594594,0.6221360810170901,0.7835393341221565,,schema
fact_av,trust_rating,10354,4.034624299787522,0.9767329535174044,0.33338012315737026,,schema
longitudinal_usa_germany_ehmi,ueq_hedonic,30,-0.9990384615384617,2.094902270964657,0.0,rescaled 1.0-625.0 -> -3.0-3.0,schema
longitudinal_usa_germany_ehmi,ueq_pragmatic,30,-1.4718100890207713,1.91444029050401,0.0,rescaled 1.0-675.0 -> -3.0-3.0,schema
ehmi_optimization_chi25,understanding_rating,37,3.950675675675676,0.6661322463818049,-0.10517109975641968,,schema
fact_av,understanding_rating,10354,4.098358122464747,0.7363236509112866,0.10517109975641968,rescaled 0.0-20.0 -> 1.0-5.0,schema
ehmi_for_all_chi26,usability,40,71.69791666666667,13.055460367447136,0.11393981557427627,,unknown
roads_chi25,usability,23,68.70471014492752,13.214126878253794,-0.11393981557427627,,unknown
